2024010,王伟,女,18,5.0
2024020,王伟,女,18,5.0
2024030,王伟,女,18,5.0
2024040,王伟,女,18,5.0
2024050,王伟,女,18,5.0
2024060,王伟,女,18,5.0
2024070,王伟,女,18,5.0
2024080,王伟,女,18,5.0
2024090,王伟,女,18,5.0
2024100,王伟,女,18,5.0
2024001,李芳,男,19,4.5
2024011,李芳,男,19,4.5
2024021,李芳,男,19,4.5
2024031,李芳,男,19,4.5
2024041,李芳,男,19,4.5
2024051,李芳,男,19,4.5
2024061,李芳,男,19,4.5
2024071,李芳,男,19,4.5
2024081,李芳,男,19,4.5
2024091,李芳,男,19,4.5
2024002,张娜,女,20,4.0
2024012,张娜,女,20,4.0
2024022,张娜,女,20,4.0
2024032,张娜,女,20,4.0
2024042,张娜,女,20,4.0
2024052,张娜,女,20,4.0
2024062,张娜,女,20,4.0
2024072,张娜,女,20,4.0
2024082,张娜,女,20,4.0
2024092,张娜,女,20,4.0
2024003,刘敏,男,21,3.5
2024013,刘敏,男,21,3.5
2024023,刘敏,男,21,3.5
2024033,刘敏,男,21,3.5
2024043,刘敏,男,21,3.5
2024053,刘敏,男,21,3.5
2024063,刘敏,男,21,3.5
2024073,刘敏,男,21,3.5
2024083,刘敏,男,21,3.5
2024093,刘敏,男,21,3.5
2024004,陈静,女,22,3.0
2024014,陈静,女,22,3.0
2024024,陈静,女,22,3.0
2024034,陈静,女,22,3.0
2024044,陈静,女,22,3.0
2024054,陈静,女,22,3.0
2024064,陈静,女,22,3.0
2024074,陈静,女,22,3.0
2024084,陈静,女,22,3.0
2024094,陈静,女,22,3.0
2024005,杨杰,男,18,2.5
2024015,杨杰,男,18,2.5
2024025,杨杰,男,18,2.5
2024035,杨杰,男,18,2.5
2024045,杨杰,男,18,2.5
2024055,杨杰,男,18,2.5
2024065,杨杰,男,18,2.5
2024075,杨杰,男,18,2.5
2024085,杨杰,男,18,2.5
2024095,杨杰,男,18,2.5
2024006,赵强,女,19,2.0
2024016,赵强,女,19,2.0
2024026,赵强,女,19,2.0
2024036,赵强,女,19,2.0
2024046,赵强,女,19,2.0
2024056,赵强,女,19,2.0
2024066,赵强,女,19,2.0
2024076,赵强,女,19,2.0
2024086,赵强,女,19,2.0
2024096,赵强,女,19,2.0
2024007,黄磊,男,20,1.5
2024017,黄磊,男,20,1.5
2024027,黄磊,男,20,1.5
2024037,黄磊,男,20,1.5
2024047,黄磊,男,20,1.5
2024057,黄磊,男,20,1.5
2024067,黄磊,男,20,1.5
2024077,黄磊,男,20,1.5
2024087,黄磊,男,20,1.5
2024097,黄磊,男,20,1.5
2024008,周军,女,21,1.0
2024018,周军,女,21,1.0
2024028,周军,女,21,1.0
2024038,周军,女,21,1.0
2024048,周军,女,21,1.0
2024058,周军,女,21,1.0
2024068,周军,女,21,1.0
2024078,周军,女,21,1.0
2024088,周军,女,21,1.0
2024098,周军,女,21,1.0
2024009,吴艳,男,22,0.5
2024019,吴艳,男,22,0.5
2024029,吴艳,男,22,0.5
2024039,吴艳,男,22,0.5
2024049,吴艳,男,22,0.5
2024059,吴艳,男,22,0.5
2024069,吴艳,男,22,0.5
2024079,吴艳,男,22,0.5
2024099,吴艳,男,22,0.5
